text,label
"അമിതാഭ് ബച്ചൻ, സഞ്ജയ് ദത്ത്, റാണാ ദഗ്ഗുബതി എന്നിവരടങ്ങുന്ന പ്രതിഭാധനരായ അഭിനേതാക്കൾ ഉണ്ടായിരുന്നിട്ടും, ശ്രദ്ധേയമായ ഒരു കഥ നൽകാൻ സിനിമ പരാജയപ്പെട്ടു.ഛായാഗ്രഹണം മോശമായിരുന്നു.കാസ്റ്റിംഗ് വളരെ മോശമായി തോന്നി.",0
"സിനിമയ്ക്ക് അതിന്റേതായ നിമിഷങ്ങളുണ്ടെങ്കിലും, ആത്യന്തികമായി അതിന്റെ പ്രശസ്തിക്ക് അനുസൃതമായി ജീവിക്കാൻ അത് പരാജയപ്പെടുന്നു.",0
"കാസ്റ്റിംഗ് തിരഞ്ഞെടുപ്പുകൾ ദുരന്തമാണ് , കഥ വളരെ മോശമായിരുന്നു. ഞാൻ ഈ സിനിമ ആർക്കും ശുപാർശ ചെയ്യുന്നില്ല. മികച്ച ഛായാഗ്രഹണം ആയിരുന്നു. ക്യാമറാമാൻ സ്വന്തം കഴിവ് തെളിയിച്ചു.",0
"സുഭാഷ് കപൂറിന്റെ സംവിധാനം അദ്ദേഹത്തിന്റെ സാധാരണ നിലവാരം പുലർത്തുന്നില്ല, കൂടാതെ തിരക്കഥ മോശമായി എഴുതിയിരിക്കുന്നു. വളരെ നല്ല കാസ്റ്റിംഗ് ആയിരുന്നു ഈ സിനിമയിൽ.",0
വളരെ നല്ല ചലച്ചിത്രം ആയിരുന്നു. പ്രതേകിച്ചു എടുത്ത് പറയേണ്ടത് ചലച്ചിത്രത്തിന്റെ സംവിധാനവും തിരക്കഥയും. അഭിനയ മികവ് ഉണ്ടെന്ന് തോന്നിയില്ല. തിരക്കഥയിരുന്നു ചലച്ചിത്രത്തിന്റെ നട്ടൽ. കഥാപാത്രങ്ങൾ എന്ന രീതിയിൽ മോഹൻലാൽ ഉം മീനയും നല്ല ജോടികൾ ആയിരുന്നു. സംഗീതത്തെപറ്റി പ്രതേകിച്ചു അഭിപ്രായങ്ങൾ ഒന്നും തന്നെ ഇല്ല. നല്ലൊരു ചലച്ചിത്രം ആയിരുന്നു,1
"കൽപന ലജ്മിയുടെ സംവിധാനം അവളുടെ സാധാരണ നിലവാരം പുലർത്തുന്നില്ല, കൂടാതെ തിരക്കഥ മോശമായി എഴുതിയിരിക്കുന്നു. വളരെ നല്ല കാസ്റ്റിംഗ് ആയിരുന്നു ഈ സിനിമയിൽ.",0
"അതിബുദ്ധിമാനും സമർത്ഥനും ആയ ഒരു പോലീസുകാരന്റെ അന്വേഷണ പാടവത്തിനു ഒരു ഷെർലക് ഹോംസ് വാസന നൽകുന്ന കഥാപാത്രം ആണ് ജോസഫ് . ഉത്തരം കിട്ടാതെ ഒരു ബന്ധവും ഇല്ലാതെ നടക്കുന്ന കുറെ മരണങ്ങൾക്ക് തന്റെ മരണത്തിലൂടെ ഉത്തരം തേടുന്ന ഒരു നായകനെ മലയാള സിനിമയിൽ ചുരുക്കം കാണാൻ സാധിക്കുള്ളു. സിനിമയുടെ അവസാനം വരെ പ്രേക്ഷകനെ മുൾമുനയിൽ നിർത്തുന്ന കഥയും, ജോജു ജോസെഫിന്റെ അഭിനയവും പ്രശംസനീയാർഹമാണ്.",1
"ഈ ചിത്രത്തിലെ കാസ്റ്റിംഗ് ഒരു നിരാശാജനകമാണ്. അഭിനേതാക്കൾ അവരുടെ റോളുകൾക്ക് ആധികാരികത കൊണ്ടുവരാൻ പാടുപെടുന്നു, ഇത് ബോധ്യപ്പെടുത്താത്തതും മങ്ങിയതുമായ പ്രകടനങ്ങൾക്ക് കാരണമാകുന്നു. കഥാപാത്രങ്ങളുമായുള്ള പ്രേക്ഷകരുടെ ബന്ധത്തെ തടസ്സപ്പെടുത്തുന്ന കാസ്റ്റിംഗ് കഥയുടെ കാഴ്ചപ്പാടുമായി പൊരുത്തപ്പെടാത്തത് ഖേദകരമാണ്.",0
"പ്രതീക്ഷിച്ച അത്ര നല്ല ഒരു അനുഭവമായി തോന്നിയില്ല, ആവറേജ് മൂവി ആയിരുന്നു . എന്നാലും മേക്കിങ് വളരെ മികച്ചതായി തോന്നപ്പെട്ടു",1
"കൽപ്പന ലജ്മി കഴിവുള്ള ഒരു സംവിധായികയാണ്, എന്നാൽ അവളുടെ എല്ലാ സിനിമകളും വിജയിച്ചില്ല. അത്തരത്തിലുള്ള ഒരു സിനിമയാണ് ക്യോൻ? ഒരു ആഘാതം ഉപേക്ഷിക്കുന്നതിൽ പരാജയപ്പെടുന്നു.",0
ജോജു തകർത്ത് അഭിനയിച്ച പടം. എന്തൊരു മനുഷ്യനാണ് അങ്ങേരു. വളരെ നല്ല പാട്ടുകൾ ആണ് ഈ ചിത്രത്തിൽ. കഥയും നല്ലതാണ്.,1
"രാജാ റാണി 2013 ആര്യയും നയൻതാരയും പ്രധാന വേഷങ്ങളിൽ അഭിനയിച്ച ഒരു റൊമാന്റിക് ഡ്രാമ ചിത്രമാണ് രാജ റാണി. ജോർജ്ജ് സി വില്യംസിന്റെ ഛായാഗ്രഹണം മികച്ചതാണ്, സംഗീതം ജി.വി. പ്രകാശ് കുമാർ ഒരു ഹൈലൈറ്റ് ആണ്. അറ്റ്ലിയുടെ തിരക്കഥയും സംവിധാനവും ശ്രദ്ധേയമാണ്.",1
സംവിധാനം മികച്ചത് ആയിരുന്നു. ടൈം ലാഗ് ഇല്ലാതെ കഥ മികച്ച രീതിയിൽ അവതരിപ്പിക്കാൻ കഴിഞ്ഞു. എന്നാലും ഭയങ്കര മോശം ബാക്ക്ഗ്രൗണ്ട് മ്യൂസിക് ആയിരുന്നു.,1
"രസകരമായ ആശയവും കഥയും ഫലവത്തായില്ല. സിനിമ കാണുമ്പോൾ, അവസാനത്തിൽ എന്നെപ്പോലെ നിങ്ങൾക്കും അതൃപ്തി തോന്നിയേക്കാം. സിനിമയിൽ ആരെ വേരൂന്നിക്കണമെന്ന് എനിക്ക് ശരിക്കും അറിയില്ലായിരുന്നു, ടെയ് ഡിഗ്സ് ഡിറ്റക്ടീവായി ബോറടിച്ചു, ബാക്കിയുള്ള കഥാപാത്രങ്ങൾ ഏകമാനവും അരോചകവുമാണെന്ന് തോന്നുന്നു. ഈ സിനിമയുടെ ധാർമ്മിക സന്ദേശം എനിക്ക് മനസിലാക്കാൻ കഴിയില്ല, കൂടാതെ ഒരു ഡിറ്റക്ടീവ് കഥയും ത്രില്ലറും പ്രവർത്തിക്കുന്നില്ല.",0
"സിനിമയുടെ തീയേറ്റർ എക്സ്പീറിയാൻസ് നല്ലതായിരുന്നു. സിനിമയെ ഗോഡ്ഫാദറുമായി താരതമ്യപ്പെടുത്താൻ തോന്നി എന്നുള്ളത് സത്യമാണ്. പക്ഷെ മേയ്കിങ് , ബിജിഎം , വിശ്വാൽസ് , ഡയലോഗ്സ്സ് ഒക്കെ കൊണ്ട് നന്നായി ആസ്വദിച്ചു, കഥ പ്രേടിക്ടബിൾ ആയിട്ട് കൂടി. പ്രതീക്ഷയ്ക്കൊത്ത സിനിമയായി തോന്നി..",1
"രാവൺ 2010 ഇന്ത്യൻ ഇതിഹാസമായ രാമായണത്തിന്റെ ആധുനിക പുനരാഖ്യാനമാണ് രാവൺ. ചിത്രത്തിന്റെ സംവിധാനവും തിരക്കഥയും മികച്ചതാണ്, സന്തോഷ് ശിവന്റെ ഛായാഗ്രഹണവും ഗംഭീരമാണ്. അഭിഷേക് ബച്ചന്റെയും ഐശ്വര്യ റായിയുടെയും പ്രകടനങ്ങൾ ശ്രദ്ധേയമാണ്.",1
അതേ പഴയ ആശയം സമർത്ഥമായ രീതിയിൽ അവതരിപ്പിച്ചിരിക്കുന്നു. ഒരു ഹോട്ടൽ റിസോർട്ടിന്റെ ഉടമകൾക്ക് അവരുടെ ബിസിനസിനെ തകരാറിലാക്കിയേക്കാവുന്ന വേട്ടയാടുന്ന ആത്മാവിന്റെ കാരണങ്ങൾ കണ്ടെത്താൻ ഒരു മെന്റലിസ്റ്റ് സഹായിക്കുന്നു. പരിഹരിക്കപ്പെടാത്ത കേസുകൾ പരിഹരിക്കാൻ പോലീസിനെ സഹായിക്കുന്ന ഒരു ബുദ്ധിമാനായ മെന്റലിസ്റ്റ് എന്ന നിലയിൽ ജയസൂര്യ പ്രധാന കഥാപാത്രത്തെ അവതരിപ്പിച്ചു. ഹോട്ടൽ ഉടമകൾ എന്ന നിലയിൽ മറ്റ് പ്രധാന വേഷങ്ങൾ തമാശയിൽ നിന്ന് ഭയത്തിലേക്കുള്ള വികാരങ്ങൾ പ്രകടിപ്പിക്കുന്നതായി തെളിയിച്ചു. മൂകമായ ചോദ്യങ്ങൾ ചോദിക്കുന്നതിൽ മികവ് പുലർത്തുന്ന ധർമ്മൻ കോമഡി ബാരേജ് പ്രകാശിപ്പിക്കുന്നു. സപ്പോട്ടിംഗ് അഭിനേതാക്കളും അതിഥി വേഷങ്ങളും സാങ്കേതിക വിഭാഗവും കാണാവുന്ന ഒരു കാര്യമായി മാറാൻ നല്ല സഹായം ചെയ്തു. യഥാർത്ഥ ജീവിതത്തിൽ നിന്നുള്ള അമാനുഷിക ത്രില്ലറുകളും ദുരന്തങ്ങളും നിറഞ്ഞ മാന്യവും മുതിർന്നതുമായ നർമ്മത്തിന്റെ സംയോജനമാണ് തിരക്കഥയ്ക്കുള്ളത്. പക്ഷെ സംവിധാനം വളരെ ദുർബലം ആയിട്ടാണ് തോന്നിയെ. സംവിധായകൻ വളരാൻ ഇനിയും ഒരുപാട് പഠിക്കാൻ ഇരിക്കുന്നു.,1
"തിരക്കഥ ശരിക്കും ആകർഷകമായിരുന്നു, അവസാന നിമിഷം വരെ എന്നെ പിടിച്ചിരുത്താൻ കഴിഞ്ഞു. കാണുമ്പോൾ വളരെ ത്രില്ലിംഗ് തോന്നുന്ന സിനിമകളിൽ ഒന്നാണിത്, എന്നാൽ പിന്നീട് അതിനെക്കുറിച്ച് ചിന്തിക്കുമ്പോൾ കുറച്ച് സ്വാധീനം നഷ്ടപ്പെടുന്നു. പാട്ടുകൾ എല്ലാം തന്നെ വളരെ മോശമായാണ് തോന്നിയത്. കേൾക്കാൻ ഇമ്പമില്ലാത്ത സംഗീതമായിരുന്നു.",1
ദുരന്തം. അതിപ്പോ കഥ ആണോ അഭിനയം ആണോ എന്ന് മാത്രം സംശയം,0
അത് അഭിനേതാക്കളുടെ കുറ്റമല്ല. അഭിനേതാക്കൾ തീർച്ചയായും അവരുടെ റോളുകൾ കുഴപ്പമില്ലാത്ത രീതിയിൽ ചെയ്തു. തിരക്കഥ വളരെ മോശമായി. ഡിറക്ഷൻ നന്നാക്കാമായിരുന്നു.,0
ഈ ചിത്രത്തിന് പിന്നിലെ സംവിധാനം ഒരു കോമഡിക്ക് മികച്ചതായിരുന്നു. പല രംഗങ്ങളും ഒരു കോമിക്ക് പുസ്തകത്തിന് പുറത്തുള്ളതും ഞാൻ പ്രതീക്ഷിച്ചതിലും വളരെ ഇരുണ്ടതും ആണ് .,0
അസഹനീയം.....നാല് ദിവസം കൊണ്ട് ശ്രമിക്കുന്നു... കണ്ട് തീർക്കാൻ....നടക്കുന്നില്ല..പുതിയ പരീക്ഷണം ആയിരിക്കും ഇതെടുത്തവർ ഉദ്ദേശിച്ചത്....ഈ സംവിധായകൻ ഇനി സിനിമ ചെയ്യാതിരിക്കുന്നദ് ആവും നല്ലത് എന്ന തോന്നുന്നു. വളരെ നല്ല കാസ്റ്റിംഗ് ആയിരുന്നു ഈ സിനിമയിൽ.,0
"തിരക്കഥ മികച്ചതായിരുന്നു, പക്ഷേ ക്യാമറ വർക്ക് പ്രചോദനം നൽകുന്നില്ല.അഭിനയം മര്യാദയുള്ളതായിരുന്നു.",1
നിരാശാജനകമായ സിനിമയാണിത്.സംവിധായകൻ തൻറെ ജോലി ചെയ്തില്ല എന്ന് തോന്നി.തിരക്കഥ നന്നായിരുന്നെങ്കിൽ സിനിമ കുറച്ചുകൂടി നന്നാവുമായിരുന്നു.,0
"സംവിധായകൻ ക്ലീഷുകളെയും ക്ഷീണിച്ച ട്രോപ്പുകളെയും വളരെയധികം ആശ്രയിക്കുന്നതായി തോന്നുന്നു, അതിന്റെ ഫലമായി പഴകിയതും പ്രവചിക്കാവുന്നതുമായ ഒരു സിനിമ ലഭിച്ചു. ഗാനങ്ങൾ മെറ്റീരിയലിനെ ഉയർത്തുന്നതിൽ കാര്യമായൊന്നും ചെയ്തില്ല",1
ബോംബെ വെൽവെറ്റ് കശ്യപിന്റെ നിരാശാജനകമായ ഒരു ശ്രമമാണ്.സംവിധാനം അപര്യാപ്തമാണ്.ബാക്ക്ഗ്രൗണ്ട് സ്കോർ പ്രതീക്ഷയ്ക്ക് വക നൽകുന്നില്ല,0
"അഭിനേതാക്കൾ അവരുടെ കഥാപാത്രങ്ങളിൽ ജീവൻ പകരുന്നതിൽ പരാജയപ്പെടുന്നു, പ്രചോദിതമല്ലാത്തതും മങ്ങിയതുമായ പ്രകടനങ്ങൾ അവതരിപ്പിക്കുന്നു. കഥയുടെ സാധ്യതകളെ തുരങ്കം വയ്ക്കുന്ന നിരാശാജനകമായ സംയോജനമാണിത്. ഈ ചിത്രത്തിലെ കാസ്റ്റിംഗ് തിരഞ്ഞെടുപ്പുകൾ വഴിതെറ്റിയതാണ്, ദുർബലമായ അഭിനയം നിരാശ വർദ്ധിപ്പിക്കുന്നു.",0
ലിജോ ജോസഫിന്റെ സംവിധാന മികവ് മാത്രമാണ് ജെല്ലികെട്ടിന്റെ ഏറ്റവും കൂടുതൽ പ്രശംസിക്കേണ്ടത്. കഥയുടെ നിരീക്ഷണത്തിൽ പറയത്തക ഒന്നു തന്നെ ഇല്ല. എന്നിരുന്നാലും കഥയുടെ അടിസ്ഥാനത്തിലുപരി ഒരു സിനിമ മികവുറ്റതാകാം എന്ന് തെളിയിച്ച സിനിമയാണ് ജെല്ലിക്കെട്ട്.,1
"വളരെ നല്ല കാസ്റ്റിംഗ് ആയിരുന്നു ഈ സിനിമയിൽ. ക്ഷമിക്കണം, ചലച്ചിത്ര നിർമ്മാതാവ് കണ്ടതുപോലെ എനിക്ക് വിഷയം ശ്രദ്ധേയമായി തോന്നിയില്ല. റോബോട്ട് പയ്യനും മോൾ എലി പയ്യനും വളരെ രസകരമായിരുന്നു, എന്നിരുന്നാലും മോറിസ് അവരെക്കുറിച്ച് ഞങ്ങളോട് കൂടുതൽ പറഞ്ഞില്ല. മറ്റ് രണ്ട് വിഷയങ്ങൾ ഒരു ബോറായിരുന്നു. അവർ തമ്മിലുള്ള കണക്ഷനുകൾ നിലനിന്നില്ല.ഇങ്ങനെ ആണെന്കി ഡയറക്ടർ വേറെ വല്ല പണിയും നോക്കുന്നത് ആയിരിക്കും നല്ലത്",0
ലിജോ ജോസ് പല്ലിശ്ശേരിയുടെ ഒരു സിനിമയായിരുന്നു ജെല്ലിക്കെട്ട് തീർത്തും വ്യത്യസ്തമായ സംവിധാനത്തിലൂടെ അറിയപ്പെട്ട സിനിമ കൂടിയായിരുന്നു ജെല്ലിക്കെട്ട്. ഈ സിനിമയിലൂടെ സംവിധായകൻ ഉദ്ദേശിച്ച സന്ദേശം സാധാരണ പ്രേക്ഷകർക്ക് മനസ്സിലാക്കാൻ കുറച്ചു ബുദ്ധിമുട്ടുണ്ട്,1
സംവിധാനം യോഗ്രാജ് ഭട്ടിന്റെ സംവിധാനം മങ്ങിയതായി അനുഭവപ്പെടുകയും കഥയ്ക്ക് ആഴം കൂട്ടുന്നതിൽ പരാജയപ്പെടുകയും ചെയ്യുന്നു,0
വ്യക്തിപരമായി വിനീത് ശ്രീനിവാസൻ ചിത്രങ്ങളിൽ ഏറ്റവും നിരാശ തോന്നിയ ചിത്രം. സ്ഥിരം ക്ലിഷെ പ്രേമത്തിൻ്റെ കഥ പറയുന്ന ചിത്രമാണ് ഹൃദയം.,0
"സംവിധാനം എ.ആർ. മുരുകദോസ് തന്റെ പതിവ് നിലവാരം പുലർത്തുന്നില്ല, തിരക്കഥ മോശമായി എഴുതിയിരിക്കുന്നു. വളരെ നല്ല കാസ്റ്റിംഗ് ആയിരുന്നു ഈ സിനിമയിൽ.",0
"സംവിധാനം റോഷൻ ആൻഡ്രൂസിന്റെ സംവിധാനം മാന്യമാണ്, എന്നാൽ തിരക്കഥ നന്നാക്കാമായിരുന്നു.സഹതാരങ്ങളും ഒരുപോലെ മോശമാണ്.",1
സംവിധാനം ഗംഭീരം. പക്ഷേ എഡിറ്റിംഗ് നിലവാരം പുലർത്തിയില്ല.,1
മോഹൻലാൽ മികച്ച അഭിനയമികവ് പുലർത്തിയ ഒരു നല്ല സിനിമ ആയിട്ടാണ് ദൃശ്യം അനുഭവപ്പെട്ടത്. സംവിധാനം വളരെ മികവ് പുലർത്തി. മുഴുനീളെ സസ്പെൻസ് നിറക്കുന്നത് കൊണ്ട് തന്നെ പ്രേക്ഷകർക്ക് നല്ലൊരു അനുഭവ ദൃശ്യം പഠത്തിനു നൽകാൻ കഴിഞ്ഞു.,1
വളരെ മോശം തിരക്കഥ. സംഭവിക്കരുതായിരുന്ന ഒരു സിനിമ. മോശം കാസ്റ്റിങ്.,0
"സാധാരണ പടങ്ങളിൽ നിന്നും വ്യത്യസ്തമായി തിരക്കഥയുള്ള പടം ആണ്. ഒരുപാട് ആഴത്തിൽ ചിന്തിച്ചു പടത്തിനെ മനസിലാക്കേണ്ടതുണ്ട്.തെറി പറയുന്നത് വളരെ ഒരു സാധാരണ കാര്യമായി പടത്തിൽ കാണാം . വളരെ മികച്ച ക്യാമറ കണ്ണുകൾ ഈ പടത്തിനു ഉണ്ടായിരുന്നു.പശ്ചാത്തല സംഗീതം വളരെ നന്നായിരുന്നു. കിടിലം എഡിറ്റിംഗ് ആയിരുന്നു, അത് പറയാതെ വയ്യ. ഇജ്ജാതി മിക്സിങ് ആയിരുന്നു ഓരോ സീനുകളും.",1
"ഈ സിനിമയിലെ കാസ്റ്റിംഗ് ഒരു മിസ് ഫയർ ആണ്. അഭിനേതാക്കൾ തമ്മിലുള്ള രസതന്ത്രം നിലവിലില്ല, അവരുടെ പ്രകടനങ്ങൾ വിയോജിപ്പും സമന്വയവും അനുഭവപ്പെടുന്നു. കാസ്റ്റിംഗ് തിരഞ്ഞെടുപ്പുകൾ കഥയുടെ കെട്ടുറപ്പിനെയും വിശ്വാസ്യതയെയും തകർക്കുന്ന ഒരു സിനിമ കാണുന്നത് നിരാശാജനകമാണ്.",0
ഈ പടം കണ്ട് കരയാൻ ആണ് തോന്നിയത്. എന്റെ കാശും സമയവും എല്ലാം പോയി. അഭിനയിക്കാൻ വന്നവർ എന്തൊക്കെയോ കാണിച്ചു കൂട്ടി വെറുപ്പിച്ചു. സംവിധായകൻ പരാജയം ആണ്.,0
"ഗല്ലി ബോയ്ക്ക് ചില സമയങ്ങളിൽ അൽപ്പം സൂത്രവാക്യം തോന്നാം, ചില കഥാപാത്രങ്ങൾ ഏകമാനമായി വരാം. മുംബൈയിലെ ചേരികളിലെ സാമൂഹികവും സാമ്പത്തികവുമായ പ്രശ്നങ്ങൾ വേണ്ടത്ര ആഴത്തിൽ സിനിമ പര്യവേക്ഷണം ചെയ്യുന്നില്ല.",1
